Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
29-1229,"Physicians, All Other",detail,"305,260",1.90%,2.064,$107.41 ,$114.76 ,"$238,700 ",1.10%
29-1240,Surgeons,broad,"58,330",3.80%,0.394,-5,$162.49 ,"$337,980 ",2.90%
29-1241,"Ophthalmologists, Except Pediatric",detail,"12,580",7.90%,0.085,$105.68 ,$127.62 ,"$265,450 ",7.30%
29-1242,"Orthopedic Surgeons, Except Pediatric",detail,"19,060",8.90%,0.129,-5,$178.56 ,"$371,400 ",9.80%
29-1243,Pediatric Surgeons,detail,780,5.60%,0.005,-5,$174.51 ,"$362,970 ",2.40%
29-1249,"Surgeons, All Other",detail,"25,910",10.20%,0.175,-5,$167.25 ,"$347,870 ",3.80%
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,broad,"252,580",1.40%,1.708,$39.40 ,$43.00 ,"$89,440 ",0.90%
29-1291,Acupuncturists,detail,"7,800",6.30%,0.053,$34.72 ,$39.61 ,"$82,390 ",3.60%
29-1292,Dental Hygienists,detail,"214,700",1.60%,1.452,$39.14 ,$40.80 ,"$84,860 ",0.40%
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",detail,"30,080",2.30%,0.203,$51.07 ,$59.60 ,"$123,960 ",5.10%
29-2000,Health Technologists and Technicians,minor,"2,949,600",0.40%,19.945,$23.35 ,$25.59 ,"$53,230 ",0.20%
29-2010,Clinical Laboratory Technologists and Technicians,broad,"333,600",0.70%,2.256,$27.59 ,$28.43 ,"$59,130 ",0.30%
29-2030,Diagnostic Related Technologists and Technicians,broad,"411,120",0.60%,2.78,$35.84 ,$35.91 ,"$74,700 ",0.30%
29-2031,Cardiovascular Technologists and Technicians,detail,"55,750",1.20%,0.377,$30.30 ,$31.49 ,"$65,490 ",0.90%
29-2032,Diagnostic Medical Sonographers,detail,"81,080",1.00%,0.548,$39.11 ,$40.58 ,"$84,410 ",0.40%
29-2033,Nuclear Medicine Technologists,detail,"16,910",1.40%,0.114,$41.01 ,$43.08 ,"$89,610 ",0.70%
29-2034,Radiologic Technologists and Technicians,detail,"215,820",0.70%,1.459,$31.32 ,$33.77 ,"$70,240 ",0.40%
29-2035,Magnetic Resonance Imaging Technologists,detail,"38,380",1.80%,0.259,$38.51 ,$39.20 ,"$81,530 ",0.30%
29-2036,Medical Dosimetrists,detail,"3,190",4.50%,0.022,$62.01 ,$62.06 ,"$129,080 ",1.40%
29-2040,Emergency Medical Technicians and Paramedics,broad,"263,160",0.90%,1.779,$18.95 ,$21.63 ,"$45,000 ",0.30%
29-2042,Emergency Medical Technicians,detail,"167,720",1.00%,1.134,$17.64 ,$19.29 ,"$40,120 ",0.30%
29-2043,Paramedics,detail,"95,440",1.30%,0.645,$23.60 ,$25.75 ,"$53,560 ",0.60%
29-2050,Health Practitioner Support Technologists and Technicians,broad,"866,480",0.50%,5.859,$18.64 ,$20.48 ,"$42,600 ",0.30%
29-2051,Dietetic Technicians,detail,"19,690",2.00%,0.133,$16.33 ,$17.49 ,"$36,370 ",0.90%
29-2052,Pharmacy Technicians,detail,"453,630",0.80%,3.067,$18.17 ,$19.35 ,"$40,260 ",0.30%
29-2053,Psychiatric Technicians,detail,"100,950",2.30%,0.683,$17.97 ,$19.60 ,"$40,760 ",0.60%
29-2055,Surgical Technologists,detail,"107,400",0.90%,0.726,$26.91 ,$27.64 ,"$57,500 ",0.30%
29-2056,Veterinary Technologists and Technicians,detail,"118,750",1.10%,0.803,$18.38 ,$19.60 ,"$40,770 ",0.70%
29-2057,Ophthalmic Medical Technicians,detail,"66,060",3.30%,0.447,$18.68 ,$20.42 ,"$42,480 ",0.80%
29-2061,Licensed Practical and Licensed Vocational Nurses,detail,"632,020",0.80%,4.274,$26.26 ,$26.86 ,"$55,860 ",0.30%
29-2072,Medical Records Specialists,detail,"187,720",1.50%,1.269,$22.69 ,$24.56 ,"$51,090 ",0.50%
29-2081,"Opticians, Dispensing",detail,"73,460",2.00%,0.497,$19.04 ,$21.58 ,"$44,890 ",0.80%
29-2090,Miscellaneous Health Technologists and Technicians,broad,"182,030",1.10%,1.231,$22.08 ,$25.39 ,"$52,810 ",0.50%
29-2091,Orthotists and Prosthetists,detail,"9,150",8.10%,0.062,$37.05 ,$37.61 ,"$78,240 ",1.30%
29-2092,Hearing Aid Specialists,detail,"10,080",5.30%,0.068,$28.38 ,$30.04 ,"$62,480 ",3.40%
29-2099,"Health Technologists and Technicians, All Other",detail,"162,800",1.10%,1.101,$21.63 ,$24.42 ,"$50,790 ",0.50%
29-9000,Other Healthcare Practitioners and Technical Occupations,minor,"128,200",1.20%,0.867,$27.76 ,$31.05 ,"$64,580 ",0.50%
29-9021,Health Information Technologists and Medical Registrars,detail,"35,500",1.20%,0.24,$28.01 ,$31.38 ,"$65,280 ",0.90%
29-9090,Miscellaneous Health Practitioners and Technical Workers,broad,"92,710",1.60%,0.627,$27.71 ,$30.92 ,"$64,310 ",0.70%
29-9091,Athletic Trainers,detail,"29,720",2.10%,0.201,-4,-4,"$57,810 ",0.90%
29-9092,Genetic Counselors,detail,"3,220",4.80%,0.022,$43.26 ,$44.77 ,"$93,120 ",1.20%
29-9093,Surgical Assistants,detail,"18,650",4.70%,0.126,$27.54 ,$29.42 ,"$61,200 ",2.90%
29-9099,"Healthcare Practitioners and Technical Workers, All Other",detail,"41,130",2.00%,0.278,$28.92 ,$32.78 ,"$68,170 ",1.50%
31-0000,Healthcare Support Occupations,major,"6,792,310",0.20%,45.929,$16.16 ,$17.10 ,"$35,560 ",0.30%
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",minor,"4,889,700",0.20%,33.064,$15.12 ,$15.60 ,"$32,440 ",0.30%
31-1120,Home Health and Personal Care Aides,broad,"3,504,230",0.40%,23.695,$14.51 ,$14.87 ,"$30,930 ",0.40%
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",broad,"1,385,470",0.40%,9.369,$17.19 ,$17.44 ,"$36,270 ",0.20%
31-1131,Nursing Assistants,detail,"1,310,090",0.40%,8.859,$17.19 ,$17.41 ,"$36,220 ",0.20%
31-1132,Orderlies,detail,"44,790",1.00%,0.303,$16.60 ,$17.34 ,"$36,070 ",0.30%
31-1133,Psychiatric Aides,detail,"30,590",2.00%,0.207,$17.86 ,$18.57 ,"$38,620 ",0.50%
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,minor,"188,060",1.40%,1.272,$28.64 ,$27.58 ,"$57,370 ",0.50%
31-2010,Occupational Therapy Assistants and Aides,broad,"47,520",1.90%,0.321,$30.51 ,$30.99 ,"$64,470 ",0.60%
31-2011,Occupational Therapy Assistants,detail,"43,810",1.90%,0.296,$30.89 ,$31.86 ,"$66,280 ",0.60%
31-2012,Occupational Therapy Aides,detail,"3,710",5.70%,0.025,$17.82 ,$20.71 ,"$43,090 ",2.20%
31-2020,Physical Therapist Assistants and Aides,broad,"140,540",1.90%,0.95,$27.52 ,$26.43 ,"$54,980 ",0.70%
31-2021,Physical Therapist Assistants,detail,"97,740",1.80%,0.661,$30.18 ,$31.01 ,"$64,510 ",0.50%
31-2022,Physical Therapist Aides,detail,"42,800",3.10%,0.289,$15.10 ,$15.97 ,"$33,210 ",1.90%
31-9000,Other Healthcare Support Occupations,minor,"1,714,550",0.40%,11.594,$18.66 ,$20.23 ,"$42,070 ",0.20%
31-9011,Massage Therapists,detail,"86,270",2.70%,0.583,$23.97 ,$27.43 ,"$57,060 ",1.60%
31-9090,Miscellaneous Healthcare Support Occupations,broad,"1,628,280",0.50%,11.01,$18.53 ,$19.84 ,"$41,280 ",0.20%
31-9091,Dental Assistants,detail,"363,880",1.00%,2.461,$21.55 ,$21.50 ,"$44,710 ",0.40%
31-9092,Medical Assistants,detail,"752,460",0.70%,5.088,$18.40 ,$19.57 ,"$40,700 ",0.20%
31-9093,Medical Equipment Preparers,detail,"63,890",0.80%,0.432,$19.94 ,$21.61 ,"$44,940 ",0.30%
31-9094,Medical Transcriptionists,detail,"48,680",2.40%,0.329,$16.70 ,$17.83 ,"$37,090 ",1.00%
31-9095,Pharmacy Aides,detail,"43,230",3.40%,0.292,$15.99 ,$17.24 ,"$35,870 ",0.70%
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detail,"111,880",1.40%,0.757,$16.70 ,$16.58 ,"$34,490 ",0.50%
31-9097,Phlebotomists,detail,"137,090",1.80%,0.927,$18.53 ,$19.51 ,"$40,580 ",0.30%
31-9099,"Healthcare Support Workers, All Other",detail,"107,170",1.60%,0.725,$19.43 ,$20.91 ,"$43,490 ",0.40%
33-0000,Protective Service Occupations,major,"3,437,610",0.20%,23.245,$21.85 ,$25.97 ,"$54,010 ",0.30%
33-1000,Supervisors of Protective Service Workers,minor,"354,660",0.30%,2.398,$36.42 ,$39.18 ,"$81,500 ",0.40%
33-1010,First-Line Supervisors of Law Enforcement Workers,broad,"187,760",0.30%,1.27,$40.55 ,$43.61 ,"$90,710 ",0.30%
33-1011,First-Line Supervisors of Correctional Officers,detail,"55,900",0.40%,0.378,$30.44 ,$33.74 ,"$70,190 ",0.20%
33-1012,First-Line Supervisors of Police and Detectives,detail,"131,860",0.40%,0.892,$46.29 ,$47.79 ,"$99,410 ",0.40%
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detail,"84,040",1.00%,0.568,$38.53 ,$40.78 ,"$84,810 ",0.50%
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",broad,"82,860",1.00%,0.56,$25.41 ,$27.54 ,"$57,280 ",0.60%
33-1091,First-Line Supervisors of Security Workers,detail,"59,520",1.20%,0.402,$23.47 ,$26.32 ,"$54,750 ",0.70%
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detail,"23,340",1.40%,0.158,$29.34 ,$30.64 ,"$63,730 ",0.70%
33-2000,Firefighting and Prevention Workers,minor,"338,250",1.00%,2.287,$25.36 ,$27.50 ,"$57,200 ",0.60%
33-2011,Firefighters,detail,"321,450",1.00%,2.174,$24.85 ,$27.07 ,"$56,310 ",0.60%
33-2020,Fire Inspectors,broad,"16,800",1.90%,0.114,$31.63 ,$35.66 ,"$74,170 ",0.90%
33-2021,Fire Inspectors and Investigators,detail,"14,510",2.20%,0.098,$33.39 ,$36.98 ,"$76,910 ",1.00%
33-2022,Forest Fire Inspectors and Prevention Specialists,detail,"2,290",2.30%,0.015,$23.13 ,$27.30 ,"$56,780 ",1.50%
33-3000,Law Enforcement Workers,minor,"1,161,080",0.20%,7.851,$29.66 ,$32.49 ,"$67,580 ",0.30%
33-3010,"Bailiffs, Correctional Officers, and Jailers",broad,"379,720",0.30%,2.568,$23.85 ,$26.33 ,"$54,760 ",0.30%
33-3011,Bailiffs,detail,"16,470",1.40%,0.111,$23.60 ,$26.29 ,"$54,680 ",0.70%
33-3012,Correctional Officers and Jailers,detail,"363,250",0.30%,2.456,$23.85 ,$26.33 ,"$54,760 ",0.30%
33-3021,Detectives and Criminal Investigators,detail,"107,400",0.20%,0.726,$41.48 ,$44.04 ,"$91,610 ",0.20%
33-3031,Fish and Game Wardens,detail,"6,530",0.40%,0.044,$28.61 ,$28.78 ,"$59,860 ",0.10%
33-3041,Parking Enforcement Workers,detail,"8,150",4.50%,0.055,$19.99 ,$21.48 ,"$44,670 ",0.80%
33-3050,Police Officers,broad,"659,270",0.30%,4.458,$31.64 ,$34.33 ,"$71,410 ",0.40%
33-3051,Police and Sheriff's Patrol Officers,detail,"655,890",0.30%,4.435,$31.63 ,$34.32 ,"$71,380 ",0.40%
33-3052,Transit and Railroad Police,detail,"3,370",3.10%,0.023,$33.25 ,$36.72 ,"$76,380 ",1.40%
33-9000,Other Protective Service Workers,minor,"1,583,620",0.40%,10.708,$16.66 ,$17.89 ,"$37,220 ",0.30%
33-9011,Animal Control Workers,detail,"11,490",1.40%,0.078,$18.90 ,$21.05 ,"$43,780 ",0.90%
33-9021,Private Detectives and Investigators,detail,"32,050",4.90%,0.217,$25.06 ,$28.56 ,"$59,400 ",1.30%
33-9030,Security Guards and Gambling Surveillance Officers,broad,"1,135,390",0.40%,7.677,$16.71 ,$17.65 ,"$36,720 ",0.30%
33-9031,Gambling Surveillance Officers and Gambling Investigators,detail,"10,500",3.50%,0.071,$17.30 ,$18.89 ,"$39,290 ",0.60%
33-9032,Security Guards,detail,"1,124,890",0.40%,7.606,$16.71 ,$17.64 ,"$36,700 ",0.30%
33-9090,Miscellaneous Protective Service Workers,broad,"404,680",0.80%,2.736,$15.80 ,$17.63 ,"$36,670 ",0.50%
33-9091,Crossing Guards and Flaggers,detail,"91,270",2.10%,0.617,$16.05 ,$18.02 ,"$37,490 ",1.10%
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detail,"107,930",1.50%,0.73,$13.11 ,$13.64 ,"$28,370 ",0.40%
33-9093,Transportation Security Screeners,detail,"47,550",0.60%,0.322,$22.94 ,$23.33 ,"$48,520 ",0.20%
33-9094,School Bus Monitors,detail,"64,100",1.90%,0.433,$14.37 ,$14.93 ,"$31,040 ",0.40%
33-9099,"Protective Service Workers, All Other",detail,"93,840",2.10%,0.635,$17.53 ,$20.80 ,"$43,270 ",1.30%
35-0000,Food Preparation and Serving Related Occupations,major,"12,514,620",0.10%,84.623,$14.25 ,$15.45 ,"$32,130 ",0.40%
35-1010,Supervisors of Food Preparation and Serving Workers,broad,"1,329,810",0.60%,8.992,$18.24 ,$20.83 ,"$43,330 ",0.50%
35-1011,Chefs and Head Cooks,detail,"160,190",2.60%,1.083,$27.17 ,$28.95 ,"$60,210 ",0.80%
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detail,"1,169,620",0.60%,7.909,$17.81 ,$19.72 ,"$41,020 ",0.40%
35-2000,Cooks and Food Preparation Workers,minor,"3,521,670",0.60%,23.813,$14.71 ,$15.26 ,"$31,730 ",0.40%
35-2010,Cooks,broad,"2,617,340",0.60%,17.698,$14.86 ,$15.42 ,"$32,080 ",0.40%
35-2011,"Cooks, Fast Food",detail,"725,590",1.70%,4.906,$13.29 ,$13.43 ,"$27,920 ",0.60%
35-2012,"Cooks, Institution and Cafeteria",detail,"417,780",0.60%,2.825,$15.63 ,$16.19 ,"$33,670 ",0.40%
35-2013,"Cooks, Private Household",detail,610,34.50%,0.004,$18.54 ,$21.88 ,"$45,510 ",13.60%
35-2014,"Cooks, Restaurant",detail,"1,321,480",0.80%,8.936,$16.40 ,$16.32 ,"$33,940 ",0.50%
35-2015,"Cooks, Short Order",detail,"133,290",6.90%,0.901,$14.60 ,$14.80 ,"$30,770 ",1.00%
35-2019,"Cooks, All Other",detail,"18,590",6.70%,0.126,$16.06 ,$16.88 ,"$35,120 ",1.30%
35-2021,Food Preparation Workers,detail,"904,330",1.40%,6.115,$14.32 ,$14.77 ,"$30,720 ",0.40%
35-3000,Food and Beverage Serving Workers,minor,"6,309,200",0.40%,42.663,$13.67 ,$14.69 ,"$30,540 ",0.50%
35-3011,Bartenders,detail,"613,070",1.20%,4.146,$14.12 ,$16.58 ,"$34,490 ",0.90%
35-3023,Fast Food and Counter Workers,detail,"3,325,050",0.70%,22.484,$13.43 ,$13.53 ,"$28,130 ",0.40%
35-3031,Waiters and Waitresses,detail,"2,122,210",0.70%,14.35,$14.00 ,$15.87 ,"$33,020 ",0.70%
35-3041,"Food Servers, Nonrestaurant",detail,"248,870",1.20%,1.683,$14.57 ,$15.36 ,"$31,940 ",0.60%
35-9000,Other Food Preparation and Serving Related Workers,minor,"1,353,950",1.00%,9.155,$13.82 ,$14.23 ,"$29,600 ",0.50%
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detail,"439,770",3.00%,2.974,$14.00 ,$14.56 ,"$30,290 ",0.80%
35-9021,Dishwashers,detail,"431,840",1.00%,2.92,$13.98 ,$14.21 ,"$29,560 ",0.50%
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detail,"400,420",1.20%,2.708,$13.33 ,$13.64 ,"$28,380 ",0.60%
35-9099,"Food Preparation and Serving Related Workers, All Other",detail,"81,930",4.90%,0.554,$14.83 ,$15.38 ,"$31,990 ",1.20%
37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"4,316,350",0.40%,29.187,$16.28 ,$17.26 ,"$35,900 ",0.30%
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,"288,670",0.70%,1.952,$22.71 ,$24.51 ,"$50,980 ",0.40%
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detail,"165,750",0.70%,1.121,$21.36 ,$22.80 ,"$47,430 ",0.50%
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detail,"122,910",1.30%,0.831,$24.43 ,$26.81 ,"$55,770 ",0.60%
37-2000,Building Cleaning and Pest Control Workers,minor,"3,026,520",0.40%,20.465,$15.19 ,$16.22 ,"$33,730 ",0.30%
37-2010,Building Cleaning Workers,broad,"2,935,360",0.50%,19.849,$15.07 ,$16.09 ,"$33,470 ",0.30%
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detail,"2,148,350",0.40%,14.527,$15.38 ,$16.33 ,"$33,960 ",0.40%
37-2012,Maids and Housekeeping Cleaners,detail,"771,390",1.30%,5.216,$14.40 ,$15.35 ,"$31,920 ",0.40%
37-2019,"Building Cleaning Workers, All Other",detail,"15,630",6.90%,0.106,$17.88 ,$19.89 ,"$41,360 ",2.50%
37-2021,Pest Control Workers,detail,"91,160",1.20%,0.616,$18.42 ,$20.29 ,"$42,210 ",0.60%
37-3010,Grounds Maintenance Workers,broad,"1,001,160",0.50%,6.77,$17.39 ,$18.32 ,"$38,100 ",0.40%
37-3011,Landscaping and Groundskeeping Workers,detail,"914,230",0.60%,6.182,$17.26 ,$17.92 ,"$37,270 ",0.30%
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detail,"22,740",5.00%,0.154,$19.93 ,$20.46 ,"$42,560 ",1.10%
37-3013,Tree Trimmers and Pruners,detail,"48,150",4.40%,0.326,$22.64 ,$23.95 ,"$49,820 ",1.40%
37-3019,"Grounds Maintenance Workers, All Other",detail,"16,050",6.30%,0.108,$19.00 ,$21.03 ,"$43,750 ",2.00%
39-0000,Personal Care and Service Occupations,major,"2,835,650",0.70%,19.175,$15.07 ,$17.41 ,"$36,210 ",0.50%
39-1000,Supervisors of Personal Care and Service Workers,minor,"205,440",0.70%,1.389,$21.80 ,$23.46 ,"$48,790 ",0.50%
39-1010,First-Line Supervisors of Entertainment and Recreation Workers,broad,"100,950",0.90%,0.683,$22.47 ,$24.19 ,"$50,310 ",0.50%
39-1013,First-Line Supervisors of Gambling Services Workers,detail,"21,900",1.10%,0.148,$27.06 ,$27.11 ,"$56,400 ",0.60%
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detail,"79,060",1.10%,0.535,$21.47 ,$23.38 ,"$48,630 ",0.60%
39-1022,First-Line Supervisors of Personal Service Workers,detail,"104,480",1.40%,0.707,$21.00 ,$22.75 ,"$47,330 ",0.60%
39-2000,Animal Care and Service Workers,minor,"274,380",2.60%,1.855,$14.32 ,$15.76 ,"$32,780 ",0.50%
39-2011,Animal Trainers,detail,"17,710",3.60%,0.12,$17.13 ,$20.11 ,"$41,820 ",2.60%
39-2021,Animal Caretakers,detail,"256,670",2.70%,1.736,$14.20 ,$15.46 ,"$32,160 ",0.60%
39-3000,Entertainment Attendants and Related Workers,minor,"539,090",0.90%,3.645,$13.49 ,$14.34 ,"$29,830 ",0.50%
39-3010,Gambling Services Workers,broad,"91,460",1.00%,0.618,$14.00 ,$16.43 ,"$34,170 ",0.80%
39-3011,Gambling Dealers,detail,"71,290",0.80%,0.482,$14.00 ,$16.51 ,"$34,350 ",0.90%
39-3012,Gambling and Sports Book Writers and Runners,detail,"7,910",4.50%,0.054,$13.91 ,$15.53 ,"$32,310 ",2.00%
39-3019,"Gambling Service Workers, All Other",detail,"12,260",4.50%,0.083,$14.59 ,$16.51 ,"$34,340 ",1.20%
39-3021,Motion Picture Projectionists,detail,"1,900",11.70%,0.013,$16.04 ,$17.17 ,"$35,710 ",3.50%
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detail,"98,350",2.10%,0.665,$13.29 ,$13.80 ,"$28,700 ",0.70%
39-3090,Miscellaneous Entertainment Attendants and Related Workers,broad,"347,380",1.30%,2.349,$13.43 ,$13.93 ,"$28,980 ",0.50%
39-3091,Amusement and Recreation Attendants,detail,"324,580",1.40%,2.195,$13.36 ,$13.63 ,"$28,350 ",0.60%
39-3092,Costume Attendants,detail,"5,730",3.40%,0.039,$23.30 ,$26.48 ,"$55,070 ",1.30%
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detail,"12,130",3.90%,0.082,$14.53 ,$15.66 ,"$32,560 ",1.20%
39-3099,"Entertainment Attendants and Related Workers, All Other",detail,"4,930",7.30%,0.033,$13.11 ,$14.81 ,"$30,810 ",2.30%
39-4000,Funeral Service Workers,minor,"63,770",1.20%,0.431,$17.94 ,$21.64 ,"$45,010 ",1.30%
39-4010,Embalmers and Crematory Operators,broad,"6,880",4.90%,0.047,$22.25 ,$23.77 ,"$49,440 ",1.80%
39-4011,Embalmers,detail,"3,950",4.00%,0.027,$23.99 ,$26.02 ,"$54,120 ",1.80%
39-4012,Crematory Operators,detail,"2,930",10.80%,0.02,$19.40 ,$20.73 ,"$43,120 ",1.70%
39-4021,Funeral Attendants,detail,"32,950",1.70%,0.223,$14.98 ,$16.51 ,"$34,340 ",1.30%
39-4031,"Morticians, Undertakers, and Funeral Arrangers",detail,"23,940",2.30%,0.162,$24.79 ,$28.09 ,"$58,430 ",1.60%
39-5000,Personal Appearance Workers,minor,"521,210",0.90%,3.524,$16.00 ,$18.61 ,"$38,720 ",0.80%
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,"310,750",2.50%,2.101,$16.06 ,$18.72 ,"$38,930 ",0.90%
39-5011,Barbers,detail,"12,690",16.80%,0.086,$16.82 ,$18.92 ,"$39,350 ",2.50%
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detail,"298,050",3.20%,2.015,$16.01 ,$18.71 ,"$38,910 ",1.00%
39-5090,Miscellaneous Personal Appearance Workers,broad,"210,460",2.00%,1.423,$15.87 ,$18.46 ,"$38,400 ",1.70%
39-5091,"Makeup Artists, Theatrical and Performance",detail,"2,970",17.80%,0.02,$46.33 ,$45.12 ,"$93,850 ",5.80%
39-5092,Manicurists and Pedicurists,detail,"138,020",1.90%,0.933,$14.97 ,$16.14 ,"$33,560 ",1.00%
39-5093,Shampooers,detail,"7,480",8.50%,0.051,$13.40 ,$13.40 ,"$27,870 ",2.10%
39-5094,Skincare Specialists,detail,"61,990",3.90%,0.419,$18.30 ,$22.98 ,"$47,790 ",3.30%
39-6010,"Baggage Porters, Bellhops, and Concierges",broad,"64,120",3.60%,0.434,$16.29 ,$17.38 ,"$36,140 ",1.00%
39-6011,Baggage Porters and Bellhops,detail,"26,520",3.30%,0.179,$15.15 ,$15.93 ,"$33,130 ",1.30%
39-6012,Concierges,detail,"37,600",4.80%,0.254,$17.10 ,$18.40 ,"$38,270 ",1.30%
39-7010,Tour and Travel Guides,broad,"41,180",3.00%,0.278,$16.56 ,$18.17 ,"$37,790 ",1.20%
39-9000,Other Personal Care and Service Workers,minor,"1,126,460",0.70%,7.617,$15.18 ,$17.35 ,"$36,080 ",0.70%
39-9011,Childcare Workers,detail,"459,460",2.10%,3.107,$13.71 ,$14.22 ,"$29,570 ",0.50%
39-9030,Recreation and Fitness Workers,broad,"520,920",1.20%,3.522,$16.91 ,$20.13 ,"$41,870 ",1.00%
39-9031,Exercise Trainers and Group Fitness Instructors,detail,"250,540",1.60%,1.694,$21.82 ,$24.12 ,"$50,170 ",1.60%
39-9032,Recreation Workers,detail,"270,380",1.10%,1.828,$15.23 ,$16.43 ,"$34,170 ",0.50%
39-9041,Residential Advisors,detail,"86,770",2.00%,0.587,$17.17 ,$18.04 ,"$37,530 ",0.60%
39-9099,"Personal Care and Service Workers, All Other",detail,"59,310",3.00%,0.401,$16.67 ,$16.14 ,"$33,580 ",0.80%
41-0000,Sales and Related Occupations,major,"13,183,250",0.30%,89.145,$16.96 ,$24.22 ,"$50,370 ",0.60%
41-1010,First-Line Supervisors of Sales Workers,broad,"1,334,680",0.50%,9.025,$22.98 ,$28.10 ,"$58,450 ",0.40%
41-1011,First-Line Supervisors of Retail Sales Workers,detail,"1,097,160",0.80%,7.419,$21.75 ,$24.10 ,"$50,130 ",0.30%
41-1012,First-Line Supervisors of Non-Retail Sales Workers,detail,"237,520",1.20%,1.606,$39.83 ,$46.58 ,"$96,890 ",0.50%
41-2000,Retail Sales Workers,minor,"7,584,940",0.70%,51.289,$14.26 ,$15.62 ,"$32,500 ",0.20%
41-2010,Cashiers,broad,"3,314,840",0.70%,22.415,$13.58 ,$13.83 ,"$28,760 ",0.30%
41-2011,Cashiers,detail,"3,296,040",0.70%,22.288,$13.58 ,$13.81 ,"$28,730 ",0.30%
41-2012,Gambling Change Persons and Booth Cashiers,detail,"18,800",1.80%,0.127,$14.43 ,$15.84 ,"$32,950 ",0.70%
41-2020,Counter and Rental Clerks and Parts Salespersons,broad,"630,050",1.40%,4.26,$17.22 ,$18.89 ,"$39,290 ",0.40%
41-2021,Counter and Rental Clerks,detail,"370,770",1.30%,2.507,$17.23 ,$18.90 ,"$39,320 ",0.50%
41-2022,Parts Salespersons,detail,"259,280",2.00%,1.753,$17.21 ,$18.87 ,"$39,250 ",0.40%
41-2031,Retail Salespersons,detail,"3,640,040",0.60%,24.614,$14.71 ,$16.70 ,"$34,730 ",0.30%
41-3000,"Sales Representatives, Services",minor,"2,124,250",0.80%,14.364,$29.42 ,$39.05 ,"$81,230 ",1.10%
41-3011,Advertising Sales Agents,detail,"106,560",1.90%,0.721,$28.10 ,$35.22 ,"$73,260 ",1.40%
41-3021,Insurance Sales Agents,detail,"445,540",1.30%,3.013,$27.82 ,$37.00 ,"$76,950 ",2.10%
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detail,"443,220",1.00%,2.997,$32.44 ,$48.43 ,"$100,740 ",1.70%
41-3041,Travel Agents,detail,"53,180",7.00%,0.36,$22.31 ,$23.20 ,"$48,250 ",1.80%
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detail,"1,075,750",1.10%,7.274,$30.00 ,$37.21 ,"$77,390 ",0.90%
41-4010,"Sales Representatives, Wholesale and Manufacturing",broad,"1,564,230",0.60%,10.577,$32.57 ,$39.92 ,"$83,030 ",0.60%
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detail,"290,830",1.50%,1.967,$46.97 ,$52.86 ,"$109,950 ",0.90%
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detail,"1,273,400",0.50%,8.611,$30.40 ,$36.96 ,"$76,890 ",0.60%
41-9000,Other Sales and Related Workers,minor,"575,150",1.30%,3.889,$22.10 ,$31.00 ,"$64,480 ",1.70%
41-9010,"Models, Demonstrators, and Product Promoters",broad,"45,480",4.10%,0.308,$16.75 ,$19.34 ,"$40,230 ",1.40%
41-9011,Demonstrators and Product Promoters,detail,"43,410",4.20%,0.294,$16.71 ,$18.50 ,"$38,470 ",1.40%
41-9012,Models,detail,"2,070",12.10%,0.014,$20.73 ,$37.17 ,"$77,310 ",10.10%
41-9020,Real Estate Brokers and Sales Agents,broad,"245,320",1.80%,1.659,$25.02 ,$34.23 ,"$71,200 ",4.00%
